time,theta,target,p1_cmd,p2_cmd,error
74.42575883865356,13.70408552575687,0.0,0.0,0.0,-13.70408552575687
74.4459068775177,13.707544594142918,0.0,0.0,0.0,-13.707544594142918
74.46601891517639,13.708712392723054,0.0,0.0,0.0,-13.708712392723054
74.48647236824036,13.709306414879313,0.0,0.0,0.0,-13.709306414879313
74.50614738464355,13.709670109530396,0.0,0.0,0.0,-13.709670109530396
74.52588319778442,13.703045516718246,0.0,0.0,0.0,-13.703045516718246
74.54570412635803,13.677644896364347,0.0,0.0,0.0,-13.677644896364347
74.56593894958496,13.622653679127584,0.0,0.0,0.0,-13.622653679127584
74.5859432220459,13.533059410345627,0.0,0.0,0.0,-13.533059410345627
74.60582828521729,13.404064648183141,0.0,0.0,0.0,-13.404064648183141
74.62592506408691,13.225936606726862,0.0,0.0,0.0,-13.225936606726862
74.64604592323303,12.991199481818477,0.0,0.0,0.0,-12.991199481818477
74.66613054275513,12.793261845560687,0.0,0.0,0.0,-12.793261845560687
74.68613481521606,12.527081960982015,0.0,0.0,0.0,-12.527081960982015
74.70615315437317,12.193433125989849,0.0,0.0,0.0,-12.193433125989849
74.7259771823883,11.799198422738824,0.0,0.0,0.0,-11.799198422738824
74.74588441848755,11.357589902217804,0.0,0.0,0.0,-11.357589902217804
74.76613759994507,10.883474882319657,0.0,0.0,0.0,-10.883474882319657
74.78617572784424,10.399545821660219,0.0,0.0,0.0,-10.399545821660219
74.80594038963318,9.921634267578995,0.0,0.0,0.0,-9.921634267578995
74.82582402229309,9.460492975279012,0.0,0.0,0.0,-9.460492975279012
74.84574890136719,9.023115946288295,0.0,0.0,0.0,-9.023115946288295
74.86583924293518,8.613727063377855,0.0,0.0,0.0,-8.613727063377855
74.88585448265076,8.258742688896945,0.0,0.0,0.0,-8.258742688896945
74.90614533424377,7.926632764470841,0.0,0.0,0.0,-7.926632764470841
74.92599391937256,7.619144131613787,0.0,0.0,0.0,-7.619144131613787
74.94631600379944,7.336844550913957,0.0,0.0,0.0,-7.336844550913957
74.96632933616638,7.0794680641931516,0.0,0.0,0.0,-7.0794680641931516
74.98631620407104,6.8461762356347355,0.0,0.0,0.0,-6.8461762356347355
75.00627493858337,6.635754505610011,0.0,0.0,0.0,-6.635754505610011
75.02624177932739,6.446758493917561,0.0,0.0,0.0,-6.446758493917561
75.04601287841797,6.277621758537887,0.0,0.0,0.0,-6.277621758537887
75.06621289253235,6.126733960667975,0.0,0.0,0.0,-6.126733960667975
75.08624362945557,5.992496407978677,0.0,0.0,0.0,-5.992496407978677
75.10619187355042,5.875954637745603,0.0,0.0,0.0,-5.875954637745603
75.12595343589783,5.7721803200070525,0.0,0.0,0.0,-5.7721803200070525
75.1461238861084,5.68000846327186,0.0,0.0,0.0,-5.68000846327186
75.16617679595947,5.598324269615183,0.0,0.0,0.0,-5.598324269615183
75.18610310554504,5.526077134892695,0.0,0.0,0.0,-5.526077134892695
75.20607709884644,5.462288695879707,0.0,0.0,0.0,-5.462288695879707
75.22595167160034,5.406056526402936,0.0,0.0,0.0,-5.406056526402936
75.24591088294983,5.356554710883325,0.0,0.0,0.0,-5.356554710883325
75.26611185073853,5.313032231627475,0.0,0.0,0.0,-5.313032231627475
75.28614473342896,5.274809878474268,0.0,0.0,0.0,-5.274809878474268
75.30594944953918,5.241276212393516,0.0,0.0,0.0,-5.241276212393516
75.32613444328308,5.212161502097993,0.0,0.0,0.0,-5.212161502097993
75.34607338905334,5.18660489199354,0.0,0.0,0.0,-5.18660489199354
75.3662178516388,5.164193203810649,0.0,0.0,0.0,-5.164193203810649
75.38597249984741,5.144556570116813,0.0,0.0,0.0,-5.144556570116813
75.40619730949402,5.1273649534314485,0.0,0.0,0.0,-5.1273649534314485
75.42624616622925,5.112324678994878,0.0,0.0,0.0,-5.112324678994878
75.44596719741821,5.0991750683224835,0.0,0.0,0.0,-5.0991750683224835
75.46601271629333,5.087685231432128,0.0,0.0,0.0,-5.087685231432128
75.48619818687439,5.077651053787875,0.0,0.0,0.0,-5.077651053787875
75.50599670410156,5.068892397874629,0.0,0.0,0.0,-5.068892397874629
75.52598071098328,5.061250527587294,0.0,0.0,0.0,-5.061250527587294
75.54601716995239,5.054615661458382,0.0,0.0,0.0,-5.054615661458382
75.56625437736511,5.048825195581865,0.0,0.0,0.0,-5.048825195581865
75.58632183074951,5.043773840634684,0.0,0.0,0.0,-5.043773840634684
75.60605955123901,5.039368985547801,0.0,0.0,0.0,-5.039368985547801
75.62585639953613,5.035529266066081,0.0,0.0,0.0,-5.035529266066081
75.64584136009216,5.0321832740921355,0.0,0.0,0.0,-5.0321832740921355
75.666020154953,5.029268398830161,0.0,0.0,0.0,-5.029268398830161
75.68611478805542,5.02672979001636,0.0,0.0,0.0,-5.02672979001636
75.70588874816895,5.0245194332719025,0.0,0.0,0.0,-5.0245194332719025
75.7257707118988,5.022595327702676,0.0,0.0,0.0,-5.022595327702676
75.74583888053894,5.020920756191773,0.0,0.0,0.0,-5.020920756191773
75.76589846611023,5.019466850459612,0.0,0.0,0.0,-5.019466850459612
75.78585195541382,5.018201321234024,0.0,0.0,0.0,-5.018201321234024
75.80578446388245,5.017099987530016,0.0,0.0,0.0,-5.017099987530016
75.82571792602539,5.016141726353471,0.0,0.0,0.0,-5.016141726353471
75.84584617614746,5.01530809542505,0.0,0.0,0.0,-5.01530809542505
75.86595225334167,5.01458300048169,0.0,0.0,0.0,-5.01458300048169
75.88598012924194,5.013952402309025,0.0,0.0,0.0,-5.013952402309025
75.90615057945251,5.0134040590912665,0.0,0.0,0.0,-5.0134040590912665
75.92590641975403,5.012927300082233,0.0,0.0,0.0,-5.012927300082233
75.94598722457886,5.012512826996312,0.0,0.0,0.0,-5.012512826996312
75.96580410003662,5.012152539887458,0.0,0.0,0.0,-5.012152539887458
75.98591637611389,5.011839729421054,0.0,0.0,0.0,-5.011839729421054
76.00603079795837,5.011567794592726,0.0,0.0,0.0,-5.011567794592726
76.02583193778992,5.011331417995965,0.0,0.0,0.0,-5.011331417995965
76.04591250419617,5.011125969130887,0.0,0.0,0.0,-5.011125969130887
76.06613779067993,5.010947416645835,0.0,0.0,0.0,-5.010947416645835
76.08622980117798,5.010792251591622,0.0,0.0,0.0,-5.010792251591622
76.1062822341919,5.010657420347577,0.0,0.0,0.0,-5.010657420347577
76.12604451179504,5.010540266033153,0.0,0.0,0.0,-5.010540266033153
76.14633369445801,5.010438477357525,0.0,0.0,0.0,-5.010438477357525
76.16638922691345,5.0103500439835535,0.0,0.0,0.0,-5.0103500439835535
76.1863534450531,5.010273217592857,0.0,0.0,0.0,-5.010273217592857
76.20634531974792,5.010206514958986,0.0,0.0,0.0,-5.010206514958986
76.22617483139038,5.010148565007177,0.0,0.0,0.0,-5.010148565007177
76.24610424041748,5.010098221761818,0.0,0.0,0.0,-5.010098221761818
76.2663037776947,5.01005448877674,0.0,0.0,0.0,-5.01005448877674
76.28648376464844,5.010016499727233,0.0,0.0,0.0,-5.010016499727233
76.30602312088013,5.0099835015003,0.0,0.0,0.0,-5.0099835015003
76.3260931968689,5.009954839465796,0.0,0.0,0.0,-5.009954839465796
76.34605002403259,5.009929944650547,0.0,0.0,0.0,-5.009929944650547
76.36607241630554,5.009908322572259,0.0,0.0,0.0,-5.009908322572259
76.38603091239929,5.0098895435205755,0.0,0.0,0.0,-5.0098895435205755
