t,theta,theta_ref,error,p1_cmd,p2_cmd,p1_meas,p2_meas,J_min,J_mean,comp_time_ms
1764072620.1291275,-0.13041947917791405,0.0,0.13041947917791405,0.0,0.07,0.0,0.0,1.4827921390533447,2.4887871742248535,14.712810516357422
1764072620.1387956,-0.130415830433827,0.0,0.130415830433827,0.0,0.10801950067281724,0.0,0.0,0.9694057703018188,2.2448890209198,6.903171539306641
1764072620.177123,-0.1304125722909444,0.0,0.1304125722909444,0.006111907307058573,0.045014291703701026,0.0,0.0,0.9982748627662659,3.4693429470062256,25.194406509399414
1764072620.2381542,-0.13040967132002193,0.0,0.13040967132002193,0.0,0.011683776676654822,0.0,0.030131962150335312,0.9095995426177979,4.279138088226318,60.672760009765625
1764072620.3080873,-0.1304027925718828,0.0,0.1304027925718828,0.02690752223134041,0.0,0.0,0.04992669075727463,0.9920573234558105,2.602586269378662,58.995723724365234
1764072620.326523,-0.1303968390760525,0.0,0.1303968390760525,0.0,0.0,0.0,0.04662757366895676,1.2776859998703003,2.7212467193603516,8.047103881835938
1764072620.3477345,-0.13039577109999845,0.0,0.13039577109999845,0.002708118874579668,0.07,0.0,0.047727279365062714,0.8440261483192444,3.221829414367676,9.397506713867188
1764072620.3696241,-0.1303948438559216,0.0,0.1303948438559216,0.0,0.0,0.0,0.04882698506116867,0.7232789397239685,3.20011043548584,11.223554611206055
1764072620.390764,-0.13039402911270367,0.0,0.13039402911270367,0.037614546716213226,0.0054686469957232475,0.0,0.03343107923865318,1.253937840461731,1.9792375564575195,12.258529663085938
1764072620.4098132,-0.1303933139828511,0.0,0.1303933139828511,0.04629836417734623,0.035984267480671406,0.0,0.03892960771918297,1.7060189247131348,2.3476409912109375,11.306047439575195
1764072620.4298105,-0.13039268688966343,0.0,0.13039268688966343,0.09319506399333477,0.05144739430397749,0.0,0.040029313415288925,1.2858352661132812,2.3247227668762207,11.3067626953125
1764072620.4498215,-0.13039213747199424,0.0,0.13039213747199424,0.0833128010854125,0.028609110973775387,0.0,0.03892960771918297,1.3391597270965576,2.3008289337158203,11.313676834106445
1764072620.4697807,-0.130391656486064,0.0,0.130391656486064,0.03354355972260237,0.04463892336934805,0.0,0.04112901911139488,1.3761670589447021,2.7690162658691406,11.280059814453125
1764072620.4900484,-0.13039123570781314,0.0,0.13039123570781314,0.06710394378751516,0.06790136639028788,0.0015395879745483398,0.03892960771918297,1.163935899734497,1.8829708099365234,11.547088623046875
1764072620.5097945,-0.13039086783820392,0.0,0.13039086783820392,0.03158180695027113,0.09230040851980448,0.03453078493475914,0.03892960771918297,0.9532585740089417,2.013389825820923,11.29460334777832
1764072620.5298543,-0.13039054641306597,0.0,0.13039054641306597,0.0,0.06688260938972235,0.05542521923780441,0.03892960771918297,0.7775598168373108,2.838447332382202,11.353492736816406
1764072620.5500088,-0.13039026571847395,0.0,0.13039026571847395,0.0,0.06152531411498785,0.05982404202222824,0.040029313415288925,0.9500200748443604,2.0397462844848633,11.505365371704102
1764072620.5698328,-0.13039002071219802,0.0,0.13039002071219802,0.059317123144865036,0.03062646370381117,0.0609237477183342,0.03892960771918297,1.0471097230911255,2.32322359085083,11.32822036743164
1764072620.5901554,-0.13038980799149394,0.0,0.13038980799149394,0.0188700333237648,0.017546222545206547,0.0609237477183342,0.040029313415288925,1.3165687322616577,3.0358738899230957,11.649608612060547
1764072620.6098127,-0.1303896222618959,0.0,0.1303896222618959,0.04771082289516926,0.08754622254520655,0.05652492493391037,0.040029313415288925,1.1791868209838867,1.9573884010314941,11.313199996948242
1764072620.6298501,-0.1303894601746756,0.0,0.1303894601746756,0.0,0.07525643955916167,0.04882698506116867,0.05542521923780441,0.9969770312309265,3.4620726108551025,11.347055435180664
1764072620.6499724,-0.1303893187807795,0.0,0.1303893187807795,0.013101723045110703,0.12166314076632262,0.0356304906308651,0.0532258078455925,0.8974944353103638,2.245197057723999,11.471748352050781
1764072620.6699367,-0.13038919548648245,0.0,0.13038919548648245,0.0,0.17280327405780554,0.03453078493475914,0.054325513541698456,0.598590612411499,3.233767032623291,11.438131332397461
1764072620.6903389,-0.13038908801322072,0.0,0.13038908801322072,0.04428635537624359,0.10280327405780554,0.03782990202307701,0.06312315911054611,0.6833571791648865,7.371722221374512,11.837244033813477
1764072620.710231,-0.1303889943613868,0.0,0.1303889943613868,0.04763726983219385,0.11216966528445482,0.025733139365911484,0.0686216875910759,0.3462734818458557,2.1779141426086426,11.733055114746094
1764072620.729837,-0.1303889127778302,0.0,0.1303889127778302,0.040301069151610136,0.08403870929032564,0.024633433669805527,0.08401759713888168,0.4251950979232788,2.9139888286590576,11.336803436279297
1764072620.7499216,-0.1303888417267888,0.0,0.1303888417267888,0.0,0.06821788568049669,0.022434022277593613,0.11260996758937836,0.6042026281356812,4.255209922790527,11.414051055908203
1764072620.7698784,-0.1303887798639689,0.0,0.1303887798639689,0.045318666845560074,0.0,0.025733139365911484,0.1192082017660141,0.7672775387763977,4.646393299102783,11.379003524780273
1764072620.7901542,-0.13034829811280507,0.0,0.13034829811280507,0.040397468488663435,0.03491555526852608,0.025733139365911484,0.12140761315822601,1.0372021198272705,2.4734883308410645,11.651992797851562
1764072620.8098423,-0.13031315082289643,0.0,0.13031315082289643,0.030402830336242914,0.0,0.024633433669805527,0.11480937898159027,0.7928115725517273,1.450690746307373,11.334419250488281
1764072620.8298447,-0.1300481531127635,0.0,0.1300481531127635,0.05822034412994981,0.0,0.025733139365911484,0.10931085050106049,0.9468739032745361,1.7410799264907837,11.339902877807617
1764072620.8498342,-0.12918578287896942,0.0,0.12918578287896942,0.12822034412994981,0.07,0.025733139365911484,0.10711143910884857,1.2677870988845825,2.8398032188415527,11.331319808959961
1764072620.8698764,-0.1274460822514272,0.0,0.1274460822514272,0.08209414238110185,0.028761524409055717,0.024633433669805527,0.10711143910884857,1.002123475074768,2.5048394203186035,11.374950408935547
1764072620.8901045,-0.12457686412169393,0.0,0.12457686412169393,0.047645481470972306,0.01608522672206164,0.02683284506201744,0.09831376373767853,1.0486457347869873,3.0087838172912598,11.598348617553711
1764072620.9098864,-0.12063487207803691,0.0,0.12063487207803691,0.0,0.03809498313814402,0.02683284506201744,0.07631965726613998,0.7351732850074768,1.7010514736175537,11.377573013305664
1764072620.9298801,-0.11597078725347204,0.0,0.11597078725347204,0.009798846207559109,0.0006650469079613752,0.05212610214948654,0.07521995157003403,1.2749836444854736,2.113079071044922,11.377334594726562
1764072620.949897,-0.1109280723783039,0.0,0.1109280723783039,0.00262453593313694,0.06775297287851573,0.06642227619886398,0.0708211287856102,0.6728182435035706,1.3894965648651123,11.38448715209961
1764072620.9699109,-0.10575526869646588,0.0,0.10575526869646588,0.0,0.011981990821659572,0.06752198189496994,0.06312315911054611,0.5375043749809265,1.5966403484344482,11.406183242797852
1764072620.9901888,-0.10062843656747057,0.0,0.10062843656747057,0.014508211985230446,0.0,0.06752198189496994,0.058724336326122284,0.4994671642780304,1.0657110214233398,11.669158935546875
1764072621.009896,-0.09566865249525758,0.0,0.09566865249525758,0.027561768889427185,0.011775314807891846,0.06532257050275803,0.054325513541698456,0.5338757634162903,1.818137764930725,11.380910873413086
1764072621.0300012,-0.09136244133446154,0.0,0.09136244133446154,0.04176364839076996,0.035765666514635086,0.06422286480665207,0.05762463063001633,0.41554567217826843,1.030741572380066,11.500358581542969
1764072621.049985,-0.08721684884300324,0.0,0.08721684884300324,0.07802658155560493,0.023824244737625122,0.06312315911054611,0.04992669075727463,0.5603963732719421,1.4879006147384644,11.47913932800293
1764072621.0698812,-0.08329207558482597,0.0,0.08329207558482597,0.09804584458470345,0.0,0.06312315911054611,0.0455278679728508,0.7505912184715271,1.799364686012268,11.377573013305664
1764072621.090344,-0.07962411602578419,0.0,0.07962411602578419,0.09172220202162862,0.0,0.0609237477183342,0.043328456580638885,0.7413884997367859,2.2653648853302,11.844158172607422
1764072621.110208,-0.07623120291951145,0.0,0.07623120291951145,0.02701526554301381,0.04099082201719284,0.0609237477183342,0.04112901911139488,0.482071191072464,1.610964059829712,11.709451675415039
1764072621.129668,-0.0731187515597338,0.0,0.0731187515597338,0.031081833876669407,0.0,0.062023453414440155,0.03782990202307701,0.5174878239631653,2.6912178993225098,11.157512664794922
1764072621.1500309,-0.0702831317639369,0.0,0.0702831317639369,0.06465583387762308,0.0,0.0609237477183342,0.03343107923865318,0.3135504126548767,0.9766198396682739,11.530637741088867
1764072621.1699896,-0.06771452621194977,0.0,0.06771452621194977,0.09632854256778955,0.03728925809264183,0.062023453414440155,0.018035199493169785,0.42598819732666016,1.0193668603897095,11.526107788085938
1764072621.1903467,-0.06539907885332866,0.0,0.06539907885332866,0.08172191400080919,0.040138216922059655,0.0609237477183342,0.0202346108853817,0.36157482862472534,0.7344915866851807,11.848926544189453
1764072621.2097049,-0.0633204935893779,0.0,0.0633204935893779,0.1517219140008092,0.02355224289931357,0.0609237477183342,0.018035199493169785,0.3918326497077942,2.0394492149353027,11.337518692016602
1764072621.2297466,-0.06146120899359991,0.0,0.06146120899359991,0.17403673816472293,0.06818088912405074,0.0609237477183342,0.010337233543395996,0.3040982782840729,0.7525671720504761,11.380434036254883
1764072621.2501738,-0.05984693063775549,0.0,0.05984693063775549,0.10740997333079577,0.047117948764935136,0.062023453414440155,0.013636350631713867,0.25252512097358704,0.5246831774711609,11.667728424072266
1764072621.2700453,-0.05840168991407653,0.0,0.05840168991407653,0.060193606354296214,0.0,0.08071848005056381,0.01583578810095787,0.16012348234653473,2.4233198165893555,11.545658111572266
1764072621.290131,-0.05711194858650956,0.0,0.05711194858650956,0.04809180524200202,0.04537113755941391,0.10491202771663666,0.01583578810095787,0.16258718073368073,1.0850311517715454,11.618852615356445
1764072621.3098347,-0.05596420509123933,0.0,0.05596420509123933,0.05765185475349427,0.10065235570073128,0.1115102618932724,0.014736082404851913,0.11495881527662277,1.62107253074646,11.333227157592773
1764072621.3299112,-0.05494533916854931,0.0,0.05494533916854931,0.07074878334999085,0.17065235570073128,0.1115102618932724,0.014736082404851913,0.28861966729164124,4.404029846191406,11.403083801269531
1764072621.3501313,-0.054042841188136785,0.0,0.054042841188136785,0.09723610028624535,0.13366557255387307,0.10821114480495453,0.016935493797063828,0.08261486142873764,3.364078998565674,11.631488800048828
1764072621.3700507,-0.05324495534091439,0.0,0.05324495534091439,0.1529848051071167,0.07721431151032448,0.10491202771663666,0.029032256454229355,0.06604086607694626,0.6900916695594788,11.552572250366211
1764072621.390239,-0.05254075923035438,0.0,0.05254075923035438,0.11406322911381722,0.12667904764413834,0.1038123220205307,0.07961877435445786,0.08235098421573639,0.4371190369129181,11.736154556274414
1764072621.4105966,-0.051920197190578915,0.0,0.051920197190578915,0.15122295141220093,0.1116439650580287,0.10491202771663666,0.10821114480495453,0.19101795554161072,5.215559005737305,12.104511260986328
1764072621.4304197,-0.051374080585859176,0.0,0.051374080585859176,0.15490827959030867,0.08777615118771792,0.10601173341274261,0.12360702455043793,0.07501941174268723,1.2252771854400635,11.916875839233398
1764072621.4502766,-0.05089406516815412,0.0,0.05089406516815412,0.09763722743839026,0.059078040234744555,0.10491202771663666,0.12030790746212006,0.09913226217031479,0.5566577911376953,11.77072525024414
1764072621.470195,-0.05047730352712699,0.0,0.05047730352712699,0.08964776776731015,0.0,0.10931085050106049,0.12030790746212006,0.08417718857526779,2.419212579727173,11.693000793457031
1764072621.4899476,-0.050110769999182576,0.0,0.050110769999182576,0.04634090296924115,0.0,0.11700879037380219,0.1192082017660141,0.22472770512104034,0.9438995122909546,11.44719123840332
1764072621.5095325,-0.04978878388755614,0.0,0.04978878388755614,0.061718365810811526,0.07,0.12360702455043793,0.1192082017660141,0.14707691967487335,0.7354344725608826,11.135101318359375
1764072621.5309043,-0.04950622544905047,0.0,0.04950622544905047,0.030108722560107715,0.06773123930208386,0.12470673024654388,0.1115102618932724,0.20430482923984528,0.7802197933197021,12.503862380981445
1764072621.5502772,-0.0492584994981237,0.0,0.0492584994981237,0.0,0.03234224061481655,0.12360702455043793,0.11370967328548431,0.15150341391563416,1.791122555732727,11.797904968261719
1764072621.5700092,-0.04904149630233989,0.0,0.04904149630233989,0.0,0.02860417094081641,0.12140761315822601,0.08181818574666977,0.11421661823987961,2.263059139251709,11.507272720336914
1764072621.590271,-0.04885155162704946,0.0,0.04885155162704946,0.03198113664984703,0.0,0.1192082017660141,0.054325513541698456,0.3045089542865753,0.657973051071167,11.765480041503906
1764072621.60997,-0.04868540724215946,0.0,0.04868540724215946,0.07795348018407822,0.0,0.12030790746212006,0.051026396453380585,0.19538001716136932,1.8103046417236328,11.463165283203125
1764072621.6299465,-0.04854017279070238,0.0,0.04854017279070238,0.07650606869719923,0.0,0.11041055619716644,0.04882698506116867,0.24123965203762054,0.5300202369689941,11.445760726928711
1764072621.6502151,-0.048413289608233316,0.0,0.048413289608233316,0.046967815374955535,0.0,0.0785190686583519,0.04662757366895676,0.4141243100166321,1.1925925016403198,11.709451675415039
1764072621.6701944,-0.048302496850770274,0.0,0.048302496850770274,0.034818233689293265,0.0,0.05542521923780441,0.032331373542547226,0.22795416414737701,1.476759672164917,11.684179306030273
1764072621.6909692,-0.04820630375006744,0.0,0.04820630375006744,0.10481823368929327,0.06722807139158249,0.0609237477183342,0.018035199493169785,0.4763209819793701,1.4240174293518066,12.628316879272461
1764072621.7098064,-0.04812228281294121,0.0,0.04812228281294121,0.10494250315998216,0.07234102115035057,0.062023453414440155,0.008137822151184082,0.7977836728096008,2.343716621398926,11.312484741210938
1764072621.7299569,-0.0480489307852362,0.0,0.0480489307852362,0.04501927155826707,0.1022443138062954,0.0609237477183342,0.003738999366760254,0.3306140899658203,0.6209762096405029,11.45315170288086
1764072621.7498546,-0.047984922358068005,0.0,0.047984922358068005,0.013334928786498501,0.12580876797437668,0.05982404202222824,0.0004398822784423828,0.21731877326965332,1.377052903175354,11.346578598022461
1764072621.769969,-0.04792909074822903,0.0,0.04792909074822903,0.0,0.18317366391420364,0.06642227619886398,0.010337233543395996,0.11764569580554962,1.7127639055252075,11.427640914916992
1764072621.7901073,-0.047880410031791096,0.0,0.047880410031791096,0.0,0.13402895256876945,0.06422286480665207,0.010337233543395996,1.2424230575561523,7.166767120361328,11.603355407714844
1764072621.8097625,-0.04783797916104034,0.0,0.04783797916104034,0.07,0.11715544015169144,0.06642227619886398,0.036730196326971054,0.6084495782852173,4.9704437255859375,11.253595352172852
1764072621.8307238,-0.04780100757185365,0.0,0.04780100757185365,0.10807571902871133,0.1146044060587883,0.06642227619886398,0.06642227619886398,0.08799120038747787,6.859023571014404,12.227535247802734
