t,theta,theta_ref,error,p1_cmd,p2_cmd,p1_meas,p2_meas,J_min,J_mean,comp_time_ms,hold_mode,sigma_u
1763324696.6665115,0.19823106159350812,0.0,-0.19823106159350812,0.0,0.0,0.10711143910884857,0.02353372797369957,3.121422529220581,5.704885482788086,23.980140686035156,0,0.1
1763324696.6907082,0.19357429043608973,0.0,-0.19357429043608973,0.0,0.010073286481201649,0.0785190686583519,0.02353372797369957,2.558091878890991,6.5499162673950195,24.118900299072266,0,0.1
1763324696.7246099,0.18528546713015498,0.0,-0.18528546713015498,0.0,0.0,0.03343107923865318,0.02353372797369957,2.2612955570220947,8.834482192993164,23.688316345214844,0,0.1
1763324696.7479901,0.18097053856976072,0.0,-0.18097053856976072,0.002859211526811123,0.0,0.021334316581487656,0.02353372797369957,1.808486819267273,7.6458659172058105,23.28944206237793,0,0.1
1763324696.7716196,0.1767616696001108,0.0,-0.1767616696001108,0.0,0.007953088730573654,0.013636350631713867,0.02353372797369957,2.13979172706604,5.998653888702393,23.53811264038086,0,0.1
1763324696.806248,0.1688395161782972,0.0,-0.1688395161782972,0.0,0.011941380798816681,0.005938410758972168,0.02353372797369957,1.5124964714050293,6.093439102172852,24.486541748046875,0,0.1
1763324696.8297796,0.16526811622257348,0.0,-0.16526811622257348,0.0,0.011517757375258952,0.003738999366760254,0.013636350631713867,1.4295490980148315,8.297202110290527,23.436784744262695,0,0.1
1763324696.8531783,0.16194909543913788,0.0,-0.16194909543913788,0.049987342208623886,0.029235601250547916,0.002639293670654297,0.007038116455078125,2.0005271434783936,6.67511510848999,23.32162857055664,0,0.1
1763324696.8922603,0.15616709898576345,0.0,-0.15616709898576345,0.04254965065047145,0.02305961336242035,0.0004398822784423828,0.005938410758972168,1.8190516233444214,10.530872344970703,28.954744338989258,0,0.1
1763324696.9530413,0.15368765687952315,0.0,-0.15368765687952315,0.0,0.05499841581331566,0.002639293670654297,0.007038116455078125,1.3153477907180786,8.75735092163086,60.68015098571777,0,0.1
1763324697.0427845,0.14623039183289702,0.0,-0.14623039183289702,0.0,0.061159155156929046,0.016935493797063828,0.040029313415288925,1.4049447774887085,5.896455764770508,79.38456535339355,0,0.1
1763324697.12897,0.1413598631775667,0.0,-0.1413598631775667,0.005925919860601425,0.04779453092487529,0.0015395879745483398,0.054325513541698456,1.742125391960144,6.847200393676758,75.80089569091797,0,0.1
1763324697.2138085,0.13800445918514395,0.0,-0.13800445918514395,0.00934860366396606,0.050882592622656375,0.0,0.054325513541698456,1.3995730876922607,9.99913501739502,74.43904876708984,0,0.1
1763324697.2995145,0.13642759101915877,0.0,-0.13642759101915877,0.0,0.0003082042676396668,0.0,0.0532258078455925,2.0038187503814697,10.780008316040039,75.29759407043457,0,0.1
1763324697.385589,0.13551413274126356,0.0,-0.13551413274126356,0.054207365959882736,0.0,0.0004398822784423828,0.0532258078455925,2.0896050930023193,10.998139381408691,75.75488090515137,0,0.1
1763324697.4721277,0.13467671508620632,0.0,-0.13467671508620632,0.0900740809738636,0.0,0.0,0.004838705062866211,1.358914852142334,8.971234321594238,76.20096206665039,0,0.1
1763324697.5525165,0.13421732580049645,0.0,-0.13421732580049645,0.13516346365213394,0.0,0.04442816227674484,0.0,1.3438825607299805,6.648847579956055,70.05524635314941,0,0.1
1763324697.6325111,0.13400883578630607,0.0,-0.13400883578630607,0.1281401445157826,0.0,0.0939149409532547,0.0,1.100308895111084,5.152794361114502,69.78416442871094,0,0.1
1763324697.707005,0.13384460747921906,0.0,-0.13384460747921906,0.13021587999537587,0.0,0.13020528852939606,0.0,0.9402778148651123,6.120469093322754,64.19539451599121,0,0.1
