t,theta,theta_ref,error,p1_cmd,p2_cmd,p1_meas,p2_meas,J_min,J_mean,comp_time_ms
1763323485.5240343,0.03221359654270453,0.0,-0.03221359654270453,0.0,0.0,0.0,0.0,0.0808514803647995,2.253800392150879,12.393712997436523
1763323485.5349274,0.03221359654308588,0.0,-0.03221359654308588,0.0,0.06631070375442505,0.0,0.0,0.08653906732797623,0.7233440279960632,6.628274917602539
1763323485.5560412,0.032213596543416975,0.0,-0.032213596543416975,0.0,0.028060436248779297,0.0,0.0,0.1558552086353302,3.0387184619903564,7.712125778198242
1763323485.5760024,0.03221359654370444,0.0,-0.03221359654370444,0.022009754553437233,0.00885891355574131,0.0,0.0,0.10387597978115082,0.6955951452255249,7.699489593505859
1763323485.5959265,0.032213596543954025,0.0,-0.032213596543954025,0.0,0.01846128050237894,0.0,0.0,0.11225593090057373,0.5918073058128357,7.608890533447266
1763323485.6201842,0.03221359654417072,0.0,-0.03221359654417072,0.0,0.0077178990468382835,0.0,0.0,0.07926622033119202,0.5884957909584045,11.882543563842773
1763323485.6398356,0.03221359654435886,0.0,-0.03221359654435886,0.0,0.0,0.0,0.0,0.11018358170986176,0.4057084918022156,11.455774307250977
1763323485.6601899,0.03221359654452221,0.0,-0.03221359654452221,0.0,0.0,0.0,0.009237527847290039,0.08580794185400009,0.2585099935531616,11.73090934753418
1763323485.6801438,0.03221359654466403,0.0,-0.03221359654466403,0.03217411786317825,0.017451684921979904,0.0,0.016935493797063828,0.08350922912359238,0.4005444645881653,11.78431510925293
1763323485.7006607,0.03221359654478717,0.0,-0.03221359654478717,0.08256052061915398,0.04116162471473217,0.0,0.016935493797063828,0.10326111316680908,0.49686914682388306,12.311935424804688
1763323485.7209148,0.03221359654489408,0.0,-0.03221359654489408,0.14617976173758507,0.0,0.0,0.014736082404851913,0.06254909932613373,0.2873094379901886,12.437820434570312
1763323485.739933,0.0322135965449869,0.0,-0.0322135965449869,0.12052802555263042,0.0,0.0,0.014736082404851913,0.12619942426681519,0.37702035903930664,11.45172119140625
1763323485.7606466,0.03221359654506749,0.0,-0.03221359654506749,0.10653628781437874,0.0,0.0,0.013636350631713867,0.042135514318943024,0.26034146547317505,12.175321578979492
1763323485.7801812,0.03221359654513746,0.0,-0.03221359654513746,0.12422470562160015,0.0,0.0004398822784423828,0.013636350631713867,0.02556440979242325,0.14614810049533844,11.703729629516602
1763323485.7997942,0.03221359654519821,0.0,-0.03221359654519821,0.1098634023219347,0.011510900221765041,0.04882698506116867,0.013636350631713867,0.09955783188343048,0.8141592741012573,11.312723159790039
1763323485.8201158,0.03221359654525096,0.0,-0.03221359654525096,0.1015727985650301,0.0,0.07741936296224594,0.007038116455078125,0.04210860654711723,0.48746299743652344,11.633157730102539
1763323485.8403263,0.032213596545296756,0.0,-0.032213596545296756,0.060601165518164635,0.0013728105695918202,0.09281523525714874,0.003738999366760254,0.02947096712887287,0.31950509548187256,11.924982070922852
1763323485.8605275,0.032213596545336516,0.0,-0.032213596545336516,0.0959238950163126,0.004502940108068287,0.1038123220205307,0.0015395879745483398,0.1557183712720871,0.43103253841400146,12.050867080688477
1763323485.8800333,0.03221359654537104,0.0,-0.03221359654537104,0.08986449846997857,0.008213553228415549,0.10931085050106049,0.0,0.17552058398723602,0.9079349637031555,11.560678482055664
1763323485.9000385,0.032213596545401006,0.0,-0.032213596545401006,0.12303278082981706,0.0,0.10711143910884857,0.0,0.22865816950798035,0.6635680198669434,11.559247970581055
1763323485.920226,0.03221359654542703,0.0,-0.03221359654542703,0.11430481495335698,0.0,0.10491202771663666,0.0,0.11839145421981812,1.2844336032867432,11.745691299438477
1763323485.940282,0.03221359654544962,0.0,-0.03221359654544962,0.11471209142473526,0.0034465808421373367,0.10601173341274261,0.0,0.21438437700271606,1.2273261547088623,11.857748031616211
1763323485.9600973,0.032213596545469236,0.0,-0.032213596545469236,0.07558709967997856,0.06773930229246616,0.1038123220205307,0.0,0.07060692459344864,1.2825884819030762,11.751174926757812
1763323485.980069,0.03221359654548627,0.0,-0.03221359654548627,0.09301392760244198,0.07217405177652836,0.10711143910884857,0.0,0.19780978560447693,0.9279186129570007,11.586666107177734
1763323485.9981997,0.03221359654550106,0.0,-0.03221359654550106,0.037862554454477504,0.08898718655109406,0.10821114480495453,0.0,0.06408558785915375,0.3613489270210266,9.739160537719727
1763323486.016606,0.032213596545513895,0.0,-0.032213596545513895,0.10786255445447751,0.11094757355749607,0.11041055619716644,0.0,0.14551542699337006,1.1348907947540283,8.293867111206055
1763323486.0362616,0.03221359654552504,0.0,-0.03221359654552504,0.13671469684806653,0.12698613479733467,0.10491202771663666,0.0,0.23639382421970367,0.6984331011772156,7.9555511474609375
1763323486.0561054,0.03221359654553472,0.0,-0.03221359654553472,0.16464831490186044,0.12778081349097192,0.10491202771663666,0.01583578810095787,0.042554304003715515,0.7693254351615906,7.803201675415039
1763323486.0793872,0.03221359654554312,0.0,-0.03221359654554312,0.1871341652807314,0.13304358278401196,0.10601173341274261,0.043328456580638885,0.03471412509679794,0.740541398525238,11.065959930419922
1763323486.1004121,0.032213596545550414,0.0,-0.032213596545550414,0.196890111976536,0.17518370901234448,0.10601173341274261,0.07192083448171616,0.03644125908613205,1.0231150388717651,11.935710906982422
1763323486.1202033,0.03221359654555675,0.0,-0.03221359654555675,0.1870239385974128,0.1588086646515876,0.10491202771663666,0.09501464664936066,0.08733296394348145,1.5383214950561523,11.718273162841797
1763323486.1406264,0.03221359654556225,0.0,-0.03221359654556225,0.22234273791429587,0.11975027737207711,0.11480937898159027,0.1115102618932724,0.14415274560451508,1.002588152885437,12.266397476196289
1763323486.1602628,0.032213596545567026,0.0,-0.032213596545567026,0.2216020166745875,0.18975027737207711,0.13020528852939606,0.12360702455043793,0.19641554355621338,0.8058367371559143,11.793375015258789
1763323486.1800342,0.03221359654557117,0.0,-0.03221359654557117,0.2225227995880414,0.11975027737207711,0.14780057966709137,0.1390029340982437,0.038416631519794464,1.3333053588867188,11.542320251464844
1763323486.2000513,0.032254024446265565,0.0,-0.032254024446265565,0.18873364172060975,0.11124295205809176,0.16099707782268524,0.1521994024515152,0.0747268944978714,1.4532703161239624,11.57999038696289
1763323486.219899,0.032321467302374396,0.0,-0.032321467302374396,0.24290615758975037,0.15479128644801676,0.17859235405921936,0.15329910814762115,0.11002477258443832,2.188375473022461,11.430978775024414
1763323486.2401607,0.03240589676838808,0.0,-0.03240589676838808,0.25961565106292256,0.13084767409600317,0.19398826360702515,0.1565982550382614,0.12831425666809082,1.4074395895004272,11.693239212036133
1763323486.26018,0.03247920058636779,0.0,-0.03247920058636779,0.23692060514469632,0.09624331840313971,0.20938414335250854,0.15549854934215546,0.059182748198509216,1.5418949127197266,11.700868606567383
1763323486.2798855,0.0326039718185176,0.0,-0.0326039718185176,0.1669206051446963,0.038242079550400376,0.21378299593925476,0.1521994024515152,0.2755754888057709,1.4628007411956787,11.406183242797852
1763323486.300165,0.03280163087719729,0.0,-0.03280163087719729,0.20456904082675464,0.07723312848247588,0.22148093581199646,0.15109969675540924,0.1448909342288971,0.677384078502655,11.687040328979492
1763323486.320093,0.03304470710991152,0.0,-0.03304470710991152,0.22664713955600746,0.03862706967629492,0.23137828707695007,0.14890028536319733,0.3147193193435669,0.9125144481658936,11.611700057983398
1763323486.3399854,0.03307035557023465,0.0,-0.03307035557023465,0.1925128596194554,0.021533785620704293,0.23907622694969177,0.15109969675540924,0.35661429166793823,1.6692243814468384,11.509895324707031
1763323486.3609207,0.03245917218527369,0.0,-0.03245917218527369,0.21178727320511825,0.040181545773521066,0.233577698469162,0.14999999105930328,0.039637383073568344,1.6540918350219727,12.45880126953125
1763323486.3799496,0.030855774930086774,0.0,-0.030855774930086774,0.1812934344925452,0.053929968969896436,0.233577698469162,0.1445014625787735,0.6012015342712402,1.7360820770263672,11.471748352050781
