time,target_deg,actual_deg,error_deg,p1_cmd_MPa,p2_cmd_MPa,ps_cmd_MPa,pd_cmd_MPa
7.796287536621094e-05,0.0,-1.477111849160237,1.477111849160237,0.5851980274263768,0.6153140208870171,1.200512048313394,-0.03011599346064031
0.020274877548217773,0.0,-1.4805176043281898,1.4805176043281898,0.5965046271402388,0.6265220168232917,1.2230266439635304,-0.030017389683052897
0.04024982452392578,0.0,-1.4656640834625518,1.4656640834625518,0.5265046271402387,0.6930468130111693,1.219551440151408,-0.16654218587093061
0.06025052070617676,0.0,-1.4537812667700416,1.4537812667700416,0.5328327954653649,0.6526510874927043,1.1854838829580692,-0.1198182920273394
0.08021688461303711,0.0,-1.4266968884160336,1.4266968884160336,0.48329410486854596,0.6892452846467494,1.1725393895152953,-0.20595117977820343
0.10020732879638672,0.0,-1.4226075107328269,1.4226075107328269,0.47998588317073865,0.6542023281753062,1.1341882113460449,-0.17421644500456757
0.12018632888793945,0.0,-1.4017578835862616,1.4017578835862616,0.4840725368726997,0.6558481833152472,1.1399207201879469,-0.1717756464425475
0.14015913009643555,0.0,-1.3675000568690094,1.3675000568690094,0.5540725368726998,0.6753148460946976,1.2293873829673974,-0.12124230922199786
0.16021037101745605,0.0,-1.3400937954952077,1.3400937954952077,0.5557165987510233,0.6363809952698647,1.192097594020888,-0.08066439651884139
0.18021035194396973,0.0,-1.3181687863961662,1.3181687863961662,0.5345308951754122,0.6750490280054509,1.209579923180863,-0.14051813283003867
0.20020413398742676,0.0,-1.283050654116933,1.283050654116933,0.5471402289066463,0.6050490280054508,1.152189256912097,-0.05790879909880453
0.22018861770629883,0.0,-1.283050654116933,1.283050654116933,0.5842614168021827,0.5793457468412815,1.1636071636434642,0.004915669960901203
0.2401869297027588,0.0,-1.2549561482935467,1.2549561482935467,0.6098315486405044,0.5611204886250196,1.170952037265524,0.04871106001548475
0.260190486907959,0.0,-1.2324805436348374,1.2324805436348374,0.6199061780888586,0.5951149323396383,1.215021110428497,0.024791245749220314
0.2801809310913086,0.0,-1.2145000599078701,1.2145000599078701,0.6072248941008,0.6097217183001338,1.2169466124009338,-0.002496824199333725
0.300173282623291,0.0,-1.2001156729262963,1.2001156729262963,0.5539637928549199,0.6347999702580271,1.188763763112947,-0.08083617740310722
0.32021164894104004,0.0,-1.206186288341037,1.206186288341037,0.5724818514380603,0.6423267241939901,1.2148085756320504,-0.06984487275592977
0.3401775360107422,0.0,-1.2110427806728297,1.2110427806728297,0.5663774259109049,0.6342634488269685,1.2006408747378734,-0.0678860229160636
0.36023640632629395,0.0,-1.2149279745382637,1.2149279745382637,0.5642999788932501,0.6253083315119146,1.1896083104051647,-0.06100835261866444
0.38021087646484375,0.0,-1.2180361296306108,1.2180361296306108,0.6114594383351504,0.5604562428221105,1.1719156811572609,0.05100319551303989
0.4002039432525635,0.0,-1.2205226537044889,1.2205226537044889,0.592251632940024,0.5985601883754132,1.1908118213154373,-0.006308555435389218
0.42017579078674316,0.0,-1.222511872963591,1.222511872963591,0.6577919615618883,0.5629071895405648,1.2206991511024532,0.0948847720213235
