t,theta_ref_deg,theta_pred_deg,p1_MPa,p2_MPa,ps_MPa,pd_MPa,z,ok,mpa_cmd_x,mpa_cmd_y
0.0,0.0,-0.028115962462995196,0.02484612123252394,0.02494546898695107,0.04979159021947501,-9.934775442713151e-05,-0.004286380648416763,1,113.0774584093534,113.52960107839066
0.01,0.0,-0.06940764883812227,0.024692464279461056,0.024891084322124876,0.04958354860158593,-0.00019862004266382044,-0.004285139660972036,1,112.37814854296943,113.2820904260261
0.02,0.0,-0.12494690413369429,0.02453952004639401,0.024837007116174932,0.04937652716256894,-0.00029748706978092315,-0.004283904715263727,1,111.68208234447762,113.03597905316947
0.03,0.0,-0.19076711477898312,0.024386183641895223,0.024782921617894596,0.04916910525978982,-0.00039673797599937277,-0.004282667078122386,1,110.98423133022537,112.78982994099586
0.04,0.0,-0.26523306504037064,0.024232373064423995,0.024728591705461087,0.04896096476988508,-0.0004962186410370911,-0.004281425564185117,1,110.28422230208966,112.54256847285401
0.05,0.0,-0.3463487657090732,0.02407871212983087,0.024674411026899087,0.04875312315672996,-0.000595698897068217,-0.004280185646899613,1,109.58489431531916,112.29598618464296
0.06,0.0,-0.4324576678748256,0.02392493209385114,0.02462040920029546,0.0485453412941466,-0.0006954771064443185,-0.004278945469348674,1,108.88502428490476,112.0502178715669
0.07,0.0,-0.5319340796977062,0.023770848928791517,0.02456670360243039,0.048337552531221906,-0.0007958546736388725,-0.004277704002267394,1,108.18377468036672,111.80579772839431
0.08,0.0,-0.6403225778889535,0.023616710916248694,0.024513059282195215,0.04812977019844391,-0.0008963483659465213,-0.004276462435347496,1,107.4822754588385,111.56165646652401
0.09,0.0,-0.7558689467436666,0.0234640119171284,0.024459709591041642,0.04792372150817004,-0.0009956976739132414,-0.004275232081349903,1,106.7873253472866,111.31885609434063
0.1,0.0,-0.8764261993648549,0.023316497733916194,0.02440777200762163,0.047724269741537824,-0.0010912742737054365,-0.004274042637465688,1,106.11597190902303,111.08248238135356
0.11,0.0,-1.000460589794025,0.0231637987347959,0.024354422316468057,0.04751822105126396,-0.0011906235816721567,-0.004272812558449517,1,105.42102179747113,110.83968200917019
0.12,0.0,-1.126620782892582,0.0230144346696191,0.024302614582749685,0.047317049252368786,-0.0012881799131305854,-0.0042716104171374595,1,104.74124934084426,110.60389925660301
0.13,0.0,-1.2538302364981977,0.022861125404890558,0.02425039881073805,0.04711152421562861,-0.001389273405847491,-0.004270379045941758,1,104.04352184270192,110.36625947642561
0.14,0.0,-1.3812002259484701,0.02271361122167835,0.024198461227318037,0.04691207244899639,-0.001484850005639686,-0.004269190133491589,1,103.37216840443837,110.12988576343854
0.15,0.0,-1.5080102995063953,0.02256030195694981,0.0241462454553064,0.04670654741225621,-0.0015859434983565915,-0.0042679590218395215,1,102.67444090629603,109.89224598326113
0.16,0.0,-1.633669921121593,0.022406992692221267,0.024094029683294764,0.04650102237551603,-0.001687036991073497,-0.004266728038749714,1,101.97671340815369,109.65460620308373
0.17,0.0,-1.7577080257956765,0.022251261768865466,0.024041801029995667,0.04629306279886113,-0.0017905392611302015,-0.004265479747449479,1,101.26796467252551,109.41690779873583
0.18,0.0,-1.8797795026248867,0.022095530845509664,0.02398957237669657,0.046085103222206235,-0.001894041531186906,-0.0042642315817184,1,100.55921593689732,109.17920939438795
0.19,0.0,-1.9995954544156327,0.021946736118914095,0.02393965582893099,0.045886391947845086,-0.0019929197100168952,-0.004263039091334874,1,99.88203460341349,108.95203363922371
