t,theta,theta_ref,error,p1_cmd,p2_cmd,p1_meas,p2_meas,J_min,J_mean,comp_time_ms
1763314175.9658577,-0.01073786551436195,0.0,0.01073786551436195,0.0025006707292050123,0.012124923057854176,0.0,0.0,0.2643197178840637,0.2846295237541199,51.8190860748291
1763314176.107251,-0.010737865514651335,0.0,0.010737865514651335,0.0,0.030464167706668377,0.0,0.0,0.23049983382225037,0.2499735951423645,129.6536922454834
1763314176.2055218,-0.010737865514995627,0.0,0.010737865514995627,0.01433846540749073,0.03748010750859976,0.0,0.0,0.18566109240055084,0.20783545076847076,86.76314353942871
1763314176.3052542,-0.01073786551509891,0.0,0.01073786551509891,0.017194673418998718,0.05245730094611645,0.0,0.0,0.19639037549495697,0.21707507967948914,87.72158622741699
1763314176.406019,-0.010737865515149865,0.0,0.010737865515149865,0.0,0.07707295753061771,0.0,0.0,0.10729844123125076,0.13010156154632568,89.14399147033691
1763314176.5267284,-0.010737865515175004,0.0,0.010737865515175004,0.005235643126070499,0.08178157266229391,0.0,0.0,0.03177660331130028,0.04810839518904686,109.06291007995605
1763314176.6248586,-0.010737865515189,0.0,0.010737865515189,0.017672141082584858,0.07976484182290733,0.0,0.0,0.018172774463891983,0.036789461970329285,86.51065826416016
1763314176.7214108,-0.010737865515194314,0.0,0.010737865515194314,0.0025681694969534874,0.10760230082087219,0.0,0.0,0.025781795382499695,0.04609150439500809,85.01768112182617
1763314176.8182945,-0.010737865515196933,0.0,0.010737865515196933,0.012145607732236385,0.10243995697237551,0.0,0.0,0.19961777329444885,0.216035857796669,85.4952335357666
1763314176.9493477,-0.010737865515198225,0.0,0.010737865515198225,0.0016391752287745476,0.09648200846277177,0.0,0.0,0.23865890502929688,0.25191986560821533,116.30749702453613
1763314177.0541837,-0.010737865515198945,0.0,0.010737865515198945,0.004844960756599903,0.09158056764863431,0.0,0.0,0.7631089687347412,0.7860863208770752,93.21284294128418
1763314177.151819,-0.010737865515199254,0.0,0.010737865515199254,0.00973529927432537,0.08562161936424673,0.0,0.0,0.9334346055984497,0.9591190814971924,85.90888977050781
1763314177.2488678,-0.010737865515199372,0.0,0.010737865515199372,0.008289330056868494,0.08847799804061651,0.0,0.0,0.7715080976486206,0.7884767651557922,85.66093444824219
1763314177.3453743,-0.010737865515199422,0.0,0.010737865515199422,0.005851653520949185,0.0658348174765706,0.0,0.0,1.2962819337844849,1.3137083053588867,85.01124382019043
1763314177.4338493,-0.010737865515199455,0.0,0.010737865515199455,0.03682688542176038,0.05238181445747614,0.0,0.0,0.9306385517120361,0.9523137807846069,77.04782485961914
1763314177.5065963,-0.01073786551519947,0.0,0.01073786551519947,0.04086590663064271,0.025649708695709705,0.0,0.0,0.43606507778167725,0.45536133646965027,61.48576736450195
1763314177.565173,-0.010737865515199476,0.0,0.010737865515199476,0.02180780202616006,0.05164081323891878,0.0,0.0,0.286437451839447,0.3100019097328186,47.37401008605957
1763314177.6609664,-0.010737865515199481,0.0,0.010737865515199481,0.03777624212671071,0.045496751088649035,0.0,0.0,0.18405069410800934,0.20241372287273407,84.17606353759766
1763314177.7617195,-0.010737865515199481,0.0,0.010737865515199481,0.032288780552335083,0.027924506459385157,0.0,0.0,0.015855280682444572,0.03905089944601059,88.89007568359375
1763314177.859569,-0.010737865515199481,0.0,0.010737865515199481,0.01688315358478576,0.014830716419965029,0.0,0.0,0.016836898401379585,0.031034674495458603,86.02046966552734
1763314177.957383,-0.010737865515199481,0.0,0.010737865515199481,0.023284510825760663,0.007473174948245287,0.0,0.0,0.015178424306213856,0.035261865705251694,86.02499961853027
