time,target_deg,actual_deg,error_deg,p_term,i_term,d_term,pd_cmd,p1,p2,error_integral
0.013364553451538086,0.0,-0.17552623141708631,0.17552623141708631,0.003752800560760944,-0.02921281848975873,2.2810933868778594e-06,-0.02545773683561091,0.16227113158219453,0.18772886841780545,-0.009705255312212203
0.03341197967529297,0.0,-0.17557723513366905,0.17557723513366905,0.0037538910346727196,-0.02921281848975873,1.824874709501932e-06,-0.025457102580376513,0.16227144870981172,0.18772855129018826,-0.009705255312212203
0.05350804328918457,0.0,-0.17557723513366905,0.17557723513366905,0.0037538910346727196,-0.02921281848975873,0.0,-0.025458927455086013,0.162270536272457,0.18772946372754298,-0.009705255312212203
0.07344698905944824,0.0,-0.17561803810693527,0.17561803810693527,0.00375476341380214,-0.02921281848975873,1.459899767602079e-06,-0.02545659517618899,0.1622717024119055,0.18772829758809448,-0.009705255312212203
0.0937197208404541,0.0,-0.17565068048554822,0.17565068048554822,0.0037554613171056767,-0.02921281848975873,1.1679198140814854e-06,-0.025456189252838973,0.1622719053735805,0.18772809462641948,-0.009705255312212203
0.11371111869812012,0.0,-0.17567679438843858,0.17567679438843858,0.0037560196397485057,-0.02921281848975873,9.343358512650105e-07,-0.02545586451415896,0.16227206774292052,0.18772793225707946,-0.009705255312212203
0.13347268104553223,0.0,-0.15811956051075088,0.15811956051075088,0.0033806410048307866,-0.02921281848975873,-0.0006281846543521012,-0.026460362139280047,0.16176981893035997,0.18823018106964,-0.009705255312212203
0.153411865234375,0.0,-0.1616518984086007,0.1616518984086007,0.0034561633899285937,-0.02921281848975873,0.00012638439955143174,-0.025630270700278707,0.16218486464986065,0.18781513535013933,-0.009705255312212203
0.17342257499694824,0.0,-0.16447776872688055,0.16447776872688055,0.0035165812980068392,-0.02921281848975873,0.00010110751964114592,-0.025595129672110747,0.1622024351639446,0.18779756483605536,-0.009705255312212203
0.19358134269714355,0.0,-0.16673846498150446,0.16673846498150446,0.003564915624469436,-0.02921281848975873,8.088601571291691e-05,-0.02556701684957638,0.16221649157521179,0.1877835084247882,-0.009705255312212203
0.21335363388061523,0.0,-0.16854702198520358,0.16854702198520358,0.0036035830856395133,-0.02921281848975873,6.470881257033334e-05,-0.025544526591548884,0.16222773670422555,0.18777226329577443,-0.009705255312212203
0.2334890365600586,0.0,-0.16999386758816287,0.16999386758816287,0.0036345170545755753,-0.02921281848975873,5.1767050056267034e-05,-0.025526534385126892,0.16223673280743656,0.18776326719256342,-0.009705255312212203
0.25359106063842773,0.0,-0.17115134407053031,0.17115134407053031,0.0036592642297244246,-0.02921281848975873,4.141364004501345e-05,-0.02551214061998929,0.16224392969000534,0.18775607030999464,-0.009705255312212203
0.273348331451416,0.0,-0.17115134407053031,0.17115134407053031,0.0036592642297244246,-0.02921281848975873,0.0,-0.025553554260034306,0.16222322286998284,0.18777677713001714,-0.009705255312212203
0.2934896945953369,0.0,-0.17207732525642427,0.17207732525642427,0.0036790619698435045,-0.02921281848975873,3.313091203601094e-05,-0.025500625607879215,0.1622496871960604,0.18775031280393958,-0.009705255312212203
0.3134899139404297,0.0,-0.17281811020513943,0.17281811020513943,0.003694900161938768,-0.02921281848975873,2.6504729628808396e-05,-0.025491413598191154,0.1622542932009044,0.18774570679909558,-0.009705255312212203
0.33344173431396484,0.0,-0.17341073816411154,0.17341073816411154,0.0037075707156149786,-0.02921281848975873,2.120378370304636e-05,-0.025484043990440707,0.16225797800477965,0.18774202199522033,-0.009705255312212203
0.3534214496612549,0.0,-0.17388484053128925,0.17388484053128925,0.0037177071585559477,-0.02921281848975873,1.69630269624378e-05,-0.025478148304240347,0.16226092584787982,0.18773907415212016,-0.009705255312212203
0.37338829040527344,0.0,-0.17426412242503142,0.17426412242503142,0.0037258163129087222,-0.02921281848975873,1.3570421569949706e-05,-0.02547343175528006,0.16226328412235996,0.18773671587764001,-0.009705255312212203
0.3934338092803955,0.0,-0.17456754794002513,0.17456754794002513,0.0037323036363909423,-0.02921281848975873,1.0856337255959764e-05,-0.02546965851611183,0.16226517074194408,0.1877348292580559,-0.009705255312212203
0.4134204387664795,0.0,-0.17481028835202012,0.17481028835202012,0.003737493495176718,-0.02921281848975873,8.685069804767812e-06,-0.025466639924777247,0.16226668003761135,0.18773331996238862,-0.009705255312212203
0.43341898918151855,0.0,-0.1574263556816161,0.1574263556816161,0.003365820089173357,-0.02921281848975873,-0.0006219840671892984,-0.02646898246777467,0.16176550876611265,0.18823449123388733,-0.009705255312212203
0.4534261226654053,0.0,-0.16109733454529288,0.16109733454529288,0.0034443066574026495,-0.02921281848975873,0.00013134486928167378,-0.025637166963074408,0.1621814165184628,0.18781858348153718,-0.009705255312212203
