time,theta,target,p1_cmd,p2_cmd,error
101.43258237838745,-6.412664043332245,0.0,0.0,0.0,6.412664043332245
101.45268678665161,-6.414297341750992,0.0,0.0,0.0,6.414297341750992
101.4728057384491,-6.414856752050986,0.0,0.0,0.0,6.414856752050986
101.4928388595581,-6.415146270822049,0.0,0.0,0.0,6.415146270822049
101.51293802261353,-6.4114073285586946,0.0,0.0,0.0,6.4114073285586946
101.53297114372253,-6.392369059632487,0.0,0.0,0.0,6.392369059632487
101.55286574363708,-6.350932534456813,0.0,0.0,0.0,6.350932534456813
101.57333040237427,-6.2900754939666,0.0,0.0,0.0,6.2900754939666
101.59323143959045,-6.214394616526392,0.0,0.0,0.0,6.214394616526392
101.61356329917908,-6.129316433477453,0.0,0.0,0.0,6.129316433477453
101.63352489471436,-6.059192959717412,0.0,0.0,0.0,6.059192959717412
101.65340852737427,-5.982616130648611,0.0,0.0,0.0,5.982616130648611
101.67338585853577,-5.906328981185585,0.0,0.0,0.0,5.906328981185585
101.69342374801636,-5.837111768627302,0.0,0.0,0.0,5.837111768627302
101.71331310272217,-5.779276860043104,0.0,0.0,0.0,5.779276860043104
101.73326277732849,-5.7354393705450395,0.0,0.0,0.0,5.7354393705450395
101.75319409370422,-5.704669088550994,0.0,0.0,0.0,5.704669088550994
101.7732207775116,-5.686013423160934,0.0,0.0,0.0,5.686013423160934
101.79326438903809,-5.6761792032486795,0.0,0.0,0.0,5.6761792032486795
101.81319832801819,-5.672684529681081,0.0,0.0,0.0,5.672684529681081
101.83311867713928,-5.669659481144722,0.0,0.0,0.0,5.669659481144722
101.85313534736633,-5.668707351743401,0.0,0.0,0.0,5.668707351743401
101.873220205307,-5.669215368254295,0.0,0.0,0.0,5.669215368254295
101.89301609992981,-5.670721639023322,0.0,0.0,0.0,5.670721639023322
101.91302347183228,-5.672880253717985,0.0,0.0,0.0,5.672880253717985
101.93302893638611,-5.675434419629034,0.0,0.0,0.0,5.675434419629034
101.9530382156372,-5.678195700951802,0.0,0.0,0.0,5.678195700951802
101.97304105758667,-5.68102793695992,0.0,0.0,0.0,5.68102793695992
101.99334478378296,-5.6838347725682254,0.0,0.0,0.0,5.6838347725682254
102.01338124275208,-5.686549991748579,0.0,0.0,0.0,5.686549991748579
102.03309917449951,-5.6891300328149015,0.0,0.0,0.0,5.6891300328149015
102.05337023735046,-5.691369789700587,0.0,0.0,0.0,5.691369789700587
102.07326483726501,-5.693492611631399,0.0,0.0,0.0,5.693492611631399
102.09329533576965,-5.695478276180539,0.0,0.0,0.0,5.695478276180539
102.11337113380432,-5.697316351196234,0.0,0.0,0.0,5.697316351196234
102.13333678245544,-5.699003478821238,0.0,0.0,0.0,5.699003478821238
102.15335440635681,-5.7005413032728915,0.0,0.0,0.0,5.7005413032728915
102.1733136177063,-5.701934899974603,0.0,0.0,0.0,5.701934899974603
102.19325971603394,-5.703191594117472,0.0,0.0,0.0,5.703191594117472
102.21337819099426,-5.704320080758958,0.0,0.0,0.0,5.704320080758958
102.23326230049133,-5.705329777518105,0.0,0.0,0.0,5.705329777518105
102.25334095954895,-5.706230355879105,0.0,0.0,0.0,5.706230355879105
102.27327275276184,-5.707012256318343,0.0,0.0,0.0,5.707012256318343
102.29335117340088,-5.7077102717118695,0.0,0.0,0.0,5.7077102717118695
102.31327366828918,-5.708331626430597,0.0,0.0,0.0,5.708331626430597
102.33334374427795,-5.708883358654396,0.0,0.0,0.0,5.708883358654396
102.35326552391052,-5.709372191781156,0.0,0.0,0.0,5.709372191781156
102.37337040901184,-5.709804453396656,0.0,0.0,0.0,5.709804453396656
102.39324617385864,-5.710186029417216,0.0,0.0,0.0,5.710186029417216
102.41334581375122,-5.710522343873189,0.0,0.0,0.0,5.710522343873189
102.43336963653564,-5.713134707862437,0.0,0.0,0.0,5.713134707862437
102.45324563980103,-5.714942771113847,0.0,0.0,0.0,5.714942771113847
102.47335028648376,-5.71614453188024,0.0,0.0,0.0,5.71614453188024
102.4932427406311,-5.71718793098073,0.0,0.0,0.0,5.71718793098073
102.51330471038818,-5.717799400339268,0.0,0.0,0.0,5.717799400339268
102.53351473808289,-5.718094744631754,0.0,0.0,0.0,5.718094744631754
102.55336689949036,-5.718162730922635,0.0,0.0,0.0,5.718162730922635
102.57321524620056,-5.718071007051147,0.0,0.0,0.0,5.718071007051147
102.59336566925049,-5.71787076901423,0.0,0.0,0.0,5.71787076901423
102.61327385902405,-5.71760043642168,0.0,0.0,0.0,5.71760043642168
102.63324522972107,-5.717288542113274,0.0,0.0,0.0,5.717288542113274
102.65324759483337,-5.71695599979364,0.0,0.0,0.0,5.71695599979364
102.67338538169861,-5.7166178798877665,0.0,0.0,0.0,5.7166178798877665
102.69338393211365,-5.716284797014054,0.0,0.0,0.0,5.716284797014054
102.71334195137024,-5.7159956059625445,0.0,0.0,0.0,5.7159956059625445
102.73340582847595,-5.7157129080761155,0.0,0.0,0.0,5.7157129080761155
102.75337409973145,-5.715442170687774,0.0,0.0,0.0,5.715442170687774
102.77324032783508,-5.715186876082316,0.0,0.0,0.0,5.715186876082316
102.79326033592224,-5.714949035993692,0.0,0.0,0.0,5.714949035993692
102.81321811676025,-5.714729587720994,0.0,0.0,0.0,5.714729587720994
102.83322262763977,-5.714528697579482,0.0,0.0,0.0,5.714528697579482
