time,theta,target,p1_cmd,p2_cmd,error
48.39006304740906,7.64266171538467,4.79146838940166,0.0,0.0,-2.85119332598301
48.40981101989746,7.644590948887486,0.0,0.0,0.0,-7.644590948887486
48.43004369735718,7.645242342930604,0.0,0.0,0.0,-7.645242342930604
48.449976444244385,7.645573733163387,0.0,0.0,0.0,-7.645573733163387
48.47014927864075,7.64185714104117,0.0,0.0,0.0,-7.64185714104117
48.48998808860779,7.639325391962725,0.0,0.0,0.0,-7.639325391962725
48.510103702545166,7.63498521370498,0.0,0.0,0.0,-7.63498521370498
48.53003478050232,7.629812679674202,0.0,0.0,0.0,-7.629812679674202
48.550039768218994,7.621578582166183,0.0,0.0,0.0,-7.621578582166183
48.57000756263733,7.611729181369451,0.0,0.0,0.0,-7.611729181369451
48.59001326560974,7.601144155148777,0.0,0.0,0.0,-7.601144155148777
48.61019420623779,7.590377355869182,0.0,0.0,0.0,-7.590377355869182
48.62999677658081,7.579783547203816,0.0,0.0,0.0,-7.579783547203816
48.65010142326355,7.569589565908525,0.0,0.0,0.0,-7.569589565908525
48.67022204399109,7.559936706894535,0.0,0.0,0.0,-7.559936706894535
48.69035291671753,7.550907389687816,0.0,0.0,0.0,-7.550907389687816
48.710280656814575,7.5431408236110995,0.0,0.0,0.0,-7.5431408236110995
48.73031997680664,7.535849531165968,0.0,0.0,0.0,-7.535849531165968
48.75031328201294,7.529077708943052,0.0,0.0,0.0,-7.529077708943052
48.77028822898865,7.522842765288323,0.0,0.0,0.0,-7.522842765288323
48.790292501449585,7.517143129479232,0.0,0.0,0.0,-7.517143129479232
48.8103301525116,7.511964056955976,0.0,0.0,0.0,-7.511964056955976
48.83030724525452,7.507281966497119,0.0,0.0,0.0,-7.507281966497119
48.85028791427612,7.503067679228073,0.0,0.0,0.0,-7.503067679228073
48.87024664878845,7.499288824454585,0.0,0.0,0.0,-7.499288824454585
48.89026737213135,7.4959116081200845,0.0,0.0,0.0,-7.4959116081200845
48.91024136543274,7.492902092013861,0.0,0.0,0.0,-7.492902092013861
48.93027353286743,7.490290239335455,0.0,0.0,0.0,-7.490290239335455
48.95032286643982,7.487960143217944,0.0,0.0,0.0,-7.487960143217944
48.9701726436615,7.485887075917456,0.0,0.0,0.0,-7.485887075917456
48.990275621414185,7.484047113921885,0.0,0.0,0.0,-7.484047113921885
49.010286808013916,7.482417515031892,0.0,0.0,0.0,-7.482417515031892
49.03029465675354,7.480976951380868,0.0,0.0,0.0,-7.480976951380868
49.05027437210083,7.479705635656405,0.0,0.0,0.0,-7.479705635656405
49.07024645805359,7.478585369354826,0.0,0.0,0.0,-7.478585369354826
49.09027671813965,7.477599535265755,0.0,0.0,0.0,-7.477599535265755
49.11032319068909,7.4767330511670345,0.0,0.0,0.0,-7.4767330511670345
49.13029146194458,7.475972297617612,0.0,0.0,0.0,-7.475972297617612
49.15026044845581,7.475311804223972,0.0,0.0,0.0,-7.475311804223972
